N,p,prop_first,prop_second
15,0.4,0.33555555555555555,0.43555555555555553
15,0.4,0.38666666666666666,0.4533333333333333
15,0.4,0.44222222222222224,0.45555555555555555
15,0.4,0.44222222222222224,0.4822222222222222
16,0.4,0.43359375,0.55859375
16,0.4,0.435546875,0.490234375
16,0.4,0.419921875,0.5859375
16,0.4,0.396484375,0.4296875
16,0.4,0.41796875,0.421875
17,0.4,0.3615916955017301,0.4134948096885813
17,0.4,0.25259515570934254,0.31833910034602075
17,0.4,0.18685121107266436,0.4411764705882353
17,0.4,0.42214532871972316,0.5346020761245674
17,0.4,0.26124567474048443,0.3062283737024221
18,0.4,0.4074074074074074,0.5061728395061729
18,0.4,0.2978395061728395,0.42746913580246915
18,0.4,0.30401234567901236,0.36419753086419754
18,0.4,0.4382716049382716,0.45987654320987653
18,0.4,0.41512345679012347,0.4537037037037037
19,0.4,0.2257617728531856,0.3171745152354571
19,0.4,0.3601108033240997,0.4556786703601108
19,0.4,0.25761772853185594,0.3878116343490305
19,0.4,0.2839335180055402,0.481994459833795
19,0.4,0.314404432132964,0.47229916897506924
20,0.4,0.2975,0.51
20,0.4,0.465,0.4975
20,0.4,0.33875,0.38625
20,0.4,0.53875,0.53875
20,0.4,0.19375,0.4775
21,0.4,0.4308390022675737,0.463718820861678
21,0.4,0.3707482993197279,0.4603174603174603
21,0.4,0.21541950113378686,0.391156462585034
21,0.4,0.17573696145124718,0.42970521541950113
21,0.4,0.41383219954648526,0.48299319727891155
22,0.4,0.38636363636363635,0.43388429752066116
22,0.4,0.44421487603305787,0.512396694214876
22,0.4,0.44214876033057854,0.44214876033057854
22,0.4,0.27789256198347106,0.30991735537190085
22,0.4,0.12706611570247933,0.3440082644628099
23,0.4,0.34026465028355385,0.4499054820415879
23,0.4,0.43383742911153117,0.4962192816635161
23,0.4,0.2835538752362949,0.45841209829867674
23,0.4,0.41965973534971646,0.4669187145557656
23,0.4,0.43383742911153117,0.5066162570888468
24,0.4,0.3802083333333333,0.4262152777777778
24,0.4,0.3029513888888889,0.4418402777777778
24,0.4,0.22743055555555555,0.4383680555555556
24,0.4,0.24913194444444445,0.4479166666666667
24,0.4,0.16927083333333334,0.4418402777777778
25,0.4,0.2928,0.3528
25,0.4,0.3736,0.428
25,0.4,0.1528,0.332
25,0.4,0.2064,0.352
25,0.4,0.1976,0.4176
26,0.4,0.33653846153846156,0.4430473372781065
26,0.4,0.44970414201183434,0.48668639053254437
26,0.4,0.2818047337278107,0.3239644970414201
26,0.4,0.40754437869822485,0.46745562130177515
26,0.4,0.32840236686390534,0.44452662721893493
27,0.4,0.29698216735253774,0.3998628257887517
27,0.4,0.3840877914951989,0.40877914951989025
27,0.4,0.3196159122085048,0.46021947873799723
27,0.4,0.28189300411522633,0.46982167352537724
27,0.4,0.24074074074074073,0.38751714677640603
28,0.4,0.28125,0.3112244897959184
28,0.4,0.3137755102040816,0.350765306122449
28,0.4,0.33482142857142855,0.49107142857142855
28,0.4,0.32908163265306123,0.42028061224489793
28,0.4,0.18877551020408162,0.2557397959183674
29,0.4,0.3549346016646849,0.44530321046373367
29,0.4,0.3234244946492271,0.4399524375743163
29,0.4,0.17776456599286564,0.3680142687277051
29,0.4,0.24673008323424495,0.4405469678953627
29,0.4,0.3085612366230678,0.3793103448275862
30,0.4,0.33944444444444444,0.44277777777777777
30,0.4,0.3111111111111111,0.42055555555555557
30,0.4,0.3566666666666667,0.4177777777777778
30,0.4,0.16944444444444445,0.34833333333333333
30,0.4,0.135,0.4666666666666667
2,0.5,0.5,0.5
2,0.5,0.5,0.5
2,0.5,0.5,0.5
2,0.5,0.5,0.5
2,0.5,0.5,0.5
3,0.5,0.3333333333333333,0.5555555555555556
3,0.5,0.5555555555555556,0.6111111111111112
3,0.5,0.3888888888888889,0.6666666666666666
3,0.5,0.4444444444444444,0.5555555555555556
3,0.5,0.5555555555555556,0.6666666666666666
4,0.5,0.375,0.5625
4,0.5,0.4375,0.5625
4,0.5,0.5,0.53125
4,0.5,0.5625,0.59375
4,0.5,0.46875,0.5
5,0.5,0.4,0.68
5,0.5,0.54,0.54
5,0.5,0.4,0.48
5,0.5,0.36,0.54
5,0.5,0.42,0.5
6,0.5,0.4583333333333333,0.5416666666666666
6,0.5,0.3472222222222222,0.4444444444444444
6,0.5,0.3611111111111111,0.5138888888888888
6,0.5,0.4722222222222222,0.4722222222222222
6,0.5,0.4305555555555556,0.4444444444444444
7,0.5,0.4387755102040816,0.5306122448979592
7,0.5,0.35714285714285715,0.45918367346938777
7,0.5,0.3979591836734694,0.5306122448979592
7,0.5,0.47959183673469385,0.5306122448979592
7,0.5,0.21428571428571427,0.5204081632653061
8,0.5,0.4921875,0.5625
8,0.5,0.296875,0.359375
8,0.5,0.46875,0.53125
8,0.5,0.4921875,0.5
8,0.5,0.2578125,0.4375
9,0.5,0.4691358024691358,0.5123456790123457
9,0.5,0.35185185185185186,0.47530864197530864
9,0.5,0.3888888888888889,0.4691358024691358
9,0.5,0.41358024691358025,0.41358024691358025
9,0.5,0.3333333333333333,0.3765432098765432
10,0.5,0.41,0.45
10,0.5,0.46,0.47
10,0.5,0.36,0.48
10,0.5,0.345,0.54
10,0.5,0.515,0.525
11,0.5,0.43388429752066116,0.49173553719008267
11,0.5,0.34710743801652894,0.4462809917355372
11,0.5,0.4297520661157025,0.4297520661157025
11,0.5,0.25206611570247933,0.47107438016528924
11,0.5,0.4380165289256198,0.4669421487603306
12,0.5,0.4201388888888889,0.4756944444444444
12,0.5,0.4722222222222222,0.5173611111111112
12,0.5,0.3645833333333333,0.4409722222222222
12,0.5,0.4409722222222222,0.4826388888888889
12,0.5,0.3090277777777778,0.4479166666666667
13,0.5,0.28402366863905326,0.4437869822485207
13,0.5,0.26627218934911245,0.4230769230769231
13,0.5,0.4378698224852071,0.4378698224852071
13,0.5,0.4171597633136095,0.46449704142011833
13,0.5,0.4230769230769231,0.4230769230769231
14,0.5,0.461734693877551,0.5025510204081632
14,0.5,0.413265306122449,0.461734693877551
14,0.5,0.49744897959183676,0.49744897959183676
14,0.5,0.36989795918367346,0.4413265306122449
14,0.5,0.22193877551020408,0.3826530612244898
15,0.5,0.37555555555555553,0.4577777777777778
15,0.5,0.17333333333333334,0.3622222222222222
15,0.5,0.45111111111111113,0.47333333333333333
15,0.5,0.38222222222222224,0.41333333333333333
15,0.5,0.3377777777777778,0.45111111111111113
16,0.5,0.421875,0.47265625
16,0.5,0.318359375,0.458984375
16,0.5,0.32421875,0.47265625
16,0.5,0.380859375,0.43359375
16,0.5,0.375,0.41015625
17,0.5,0.39792387543252594,0.41522491349480967
17,0.5,0.2906574394463668,0.4844290657439446
17,0.5,0.4186851211072664,0.4532871972318339
